,index,target_name,target_accession,query_name,query_accession,eval_full_seq,score_full_seq,bias_full_seq,e_val_best_dom,score_best_dom,bias_best_dom,exp,reg,clu,ov,env,dom,rep,inc,target_description,sample_names,contig_id,gene_id,sample_contig
0,196,wwGlobalAMR.ERR2607403_ctg_859588_00002,-,adeB,RF0020,0.0,1455.1,16.2,0.0,1454.8,16.2,1.0,1,0,0,1,1,1,1,Multidrug efflux pump subunit AcrB   ,wwGlobalAMR.ERR2607403,ctg_859588,2,wwGlobalAMR.ERR2607403_ctg_859588
1,197,wwGlobalAMR.ERR2607403_ctg_572051_00004,-,adeB,RF0020,0.0,1445.1,23.9,0.0,1444.9,23.9,1.0,1,0,0,1,1,1,1,Multidrug export protein AcrF    ,wwGlobalAMR.ERR2607403,ctg_572051,4,wwGlobalAMR.ERR2607403_ctg_572051
3,198,wwGlobalAMR.ERR2607403_ctg_223525_00014,-,adeB,RF0020,0.0,1382.6,16.1,0.0,1382.3,16.1,1.0,1,0,0,1,1,1,1,Multidrug efflux pump subunit AcrB   ,wwGlobalAMR.ERR2607403,ctg_223525,14,wwGlobalAMR.ERR2607403_ctg_223525
4,199,wwGlobalAMR.ERR2607403_ctg_407730_00005,-,adeB,RF0020,0.0,1335.7,16.6,0.0,1335.4,16.6,1.0,1,0,0,1,1,1,1,Multidrug efflux pump subunit AcrB   ,wwGlobalAMR.ERR2607403,ctg_407730,5,wwGlobalAMR.ERR2607403_ctg_407730
5,200,wwGlobalAMR.ERR2607403_ctg_207776_00001,-,adeB,RF0020,0.0,1286.3,8.0,0.0,1286.0,8.0,1.0,1,0,0,1,1,1,1,Multidrug efflux pump subunit AcrB   ,wwGlobalAMR.ERR2607403,ctg_207776,1,wwGlobalAMR.ERR2607403_ctg_207776
6,201,wwGlobalAMR.ERR2607403_ctg_773095_00010,-,adeB,RF0020,0.0,1284.3,15.7,0.0,1284.0,15.7,1.0,1,0,0,1,1,1,1,Multidrug efflux pump subunit AcrB   ,wwGlobalAMR.ERR2607403,ctg_773095,10,wwGlobalAMR.ERR2607403_ctg_773095
7,202,wwGlobalAMR.ERR2607403_ctg_853724_00001,-,adeB,RF0020,0.0,1234.0,20.1,0.0,1233.7,20.1,1.0,1,0,0,1,1,1,1,Multidrug export protein AcrF    ,wwGlobalAMR.ERR2607403,ctg_853724,1,wwGlobalAMR.ERR2607403_ctg_853724
8,203,wwGlobalAMR.ERR2607403_ctg_193716_00009,-,adeB,RF0020,0.0,1233.9,22.5,0.0,1233.7,22.5,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MexB    ,wwGlobalAMR.ERR2607403,ctg_193716,9,wwGlobalAMR.ERR2607403_ctg_193716
10,1924,wwGlobalAMR.ERR2607403_ctg_790602_00002,-,MexW-MexI,RF0100,0.0,1195.5,29.7,0.0,1195.2,29.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_790602,2,wwGlobalAMR.ERR2607403_ctg_790602
11,2306,wwGlobalAMR.ERR2607403_ctg_70492_00012,-,RND_efflux,RF0115,0.0,1146.2,23.9,0.0,1145.7,23.9,1.2,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_70492,12,wwGlobalAMR.ERR2607403_ctg_70492
12,2308,wwGlobalAMR.ERR2607403_ctg_217089_00003,-,RND_efflux,RF0115,0.0,1115.7,12.4,0.0,1115.4,12.4,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MexB    ,wwGlobalAMR.ERR2607403,ctg_217089,3,wwGlobalAMR.ERR2607403_ctg_217089
14,2310,wwGlobalAMR.ERR2607403_ctg_395861_00003,-,RND_efflux,RF0115,0.0,1090.2,27.6,0.0,1090.0,27.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB    ,wwGlobalAMR.ERR2607403,ctg_395861,3,wwGlobalAMR.ERR2607403_ctg_395861
15,2311,wwGlobalAMR.ERR2607403_ctg_162100_00003,-,RND_efflux,RF0115,0.0,1089.9,27.2,0.0,1089.7,27.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB    ,wwGlobalAMR.ERR2607403,ctg_162100,3,wwGlobalAMR.ERR2607403_ctg_162100
16,1925,wwGlobalAMR.ERR2607403_ctg_314598_00007,-,MexW-MexI,RF0100,0.0,1083.8,18.7,0.0,1083.5,18.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_314598,7,wwGlobalAMR.ERR2607403_ctg_314598
17,2312,wwGlobalAMR.ERR2607403_ctg_831134_00014,-,RND_efflux,RF0115,0.0,1075.1,17.4,0.0,1074.9,17.4,1.0,1,0,0,1,1,1,1,multidrug efflux RND transporter permease subunit OqxB17 ,wwGlobalAMR.ERR2607403,ctg_831134,14,wwGlobalAMR.ERR2607403_ctg_831134
18,2314,wwGlobalAMR.ERR2607403_ctg_609688_00002,-,RND_efflux,RF0115,0.0,1071.9,15.6,0.0,1071.7,15.6,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_609688,2,wwGlobalAMR.ERR2607403_ctg_609688
19,2316,wwGlobalAMR.ERR2607403_ctg_13915_00026,-,RND_efflux,RF0115,0.0,1065.2,15.9,0.0,1065.0,15.9,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_13915,26,wwGlobalAMR.ERR2607403_ctg_13915
20,2317,wwGlobalAMR.ERR2607403_ctg_453570_00001,-,RND_efflux,RF0115,0.0,1064.8,10.5,0.0,1064.7,10.5,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_453570,1,wwGlobalAMR.ERR2607403_ctg_453570
21,2319,wwGlobalAMR.ERR2607403_ctg_78142_00009,-,RND_efflux,RF0115,0.0,1059.4,23.4,0.0,1059.2,23.4,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_78142,9,wwGlobalAMR.ERR2607403_ctg_78142
22,2320,wwGlobalAMR.ERR2607403_ctg_51693_00032,-,RND_efflux,RF0115,0.0,1043.9,21.1,0.0,1043.7,21.1,1.0,1,0,0,1,1,1,1,multidrug efflux RND transporter permease subunit OqxB7 ,wwGlobalAMR.ERR2607403,ctg_51693,32,wwGlobalAMR.ERR2607403_ctg_51693
23,2323,wwGlobalAMR.ERR2607403_ctg_219112_00002,-,RND_efflux,RF0115,0.0,1027.9,19.8,0.0,1027.7,19.8,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_219112,2,wwGlobalAMR.ERR2607403_ctg_219112
24,2324,wwGlobalAMR.ERR2607403_ctg_283006_00005,-,RND_efflux,RF0115,0.0,1015.9,15.4,0.0,1015.7,15.4,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_283006,5,wwGlobalAMR.ERR2607403_ctg_283006
26,2328,wwGlobalAMR.ERR2607403_ctg_191506_00003,-,RND_efflux,RF0115,1.3e-293,979.0,18.9,1.6e-293,978.7,18.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_191506,3,wwGlobalAMR.ERR2607403_ctg_191506
27,2330,wwGlobalAMR.ERR2607403_ctg_162100_00004,-,RND_efflux,RF0115,3.3e-292,974.3,25.7,3.9e-292,974.1,25.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_162100,4,wwGlobalAMR.ERR2607403_ctg_162100
28,207,wwGlobalAMR.ERR2607403_ctg_325508_00001,-,adeB,RF0020,8.7e-288,959.4,6.4,1.1e-287,959.1,6.4,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MexB    ,wwGlobalAMR.ERR2607403,ctg_325508,1,wwGlobalAMR.ERR2607403_ctg_325508
29,2331,wwGlobalAMR.ERR2607403_ctg_232391_00002,-,RND_efflux,RF0115,1.4e-285,952.4,19.8,1.7e-285,952.1,19.8,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_232391,2,wwGlobalAMR.ERR2607403_ctg_232391
30,2333,wwGlobalAMR.ERR2607403_ctg_667898_00005,-,RND_efflux,RF0115,2e-280,935.3,18.3,2.3e-280,935.1,18.3,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB    ,wwGlobalAMR.ERR2607403,ctg_667898,5,wwGlobalAMR.ERR2607403_ctg_667898
